1,11.6%
2,11.6%
3,11.8%
4,11.8%
5,11.8%
6,12.4%
7,12.4%
8,12.4%
9,12.4%
10,12.4%
11,12.4%
12,12.4%
13,12.4%
14,12.4%
15,13.1%
16,13.1%
17,13.1%
18,13.1%
19,13.1%
20,13.1%
21,13.1%
22,13.1%
23,13.1%
24,13.1%
25,13.1%
26,13.1%
27,13.6%
28,13.6%
29,14.5%
30,14.5%
31,14.5%
32,14.5%
33,14.5%
34,14.5%
35,14.5%
36,14.5%
37,14.5%
38,14.5%
39,14.6%
40,14.6%
41,14.6%
42,14.6%
43,14.6%
44,14.6%
45,14.6%
46,15.3%
47,15.3%
48,15.4%
49,15.4%
50,15.4%
51,15.4%
52,15.4%
53,15.7%
54,15.7%
55,15.7%
56,15.7%
57,15.7%
58,15.7%
59,15.7%
60,15.7%
61,15.7%
62,15.7%
63,15.7%
64,15.7%
65,15.7%
66,15.7%
67,15.7%
68,15.7%
69,15.8%
70,15.8%
71,15.8%
72,15.8%
73,15.8%
74,15.8%
75,15.8%
76,15.8%
77,15.8%
78,15.8%
79,16.1%
80,16.1%
81,16.1%
82,16.1%
83,16.1%
84,16.1%
85,16.1%
86,16.1%
87,16.1%
88,16.1%
89,16.1%
90,16.1%
91,16.1%
92,16.1%
93,16.1%
94,16.1%
95,16.1%
96,16.1%
97,16.1%
98,16.1%
99,16.1%
100,16.1%
101,16.1%
102,16.1%
103,16.9%
104,16.9%
105,16.9%
106,16.9%
107,16.9%
108,16.9%
109,17.0%
110,17.0%
111,17.0%
112,17.0%
113,17.0%
114,17.0%
115,17.0%
116,17.0%
117,17.0%
118,17.0%
119,17.0%
120,17.0%
121,17.0%
122,17.0%
123,17.0%
124,17.0%
125,17.0%
126,17.0%
127,17.0%
128,17.0%
129,17.0%
130,17.0%
131,17.0%
132,17.0%
133,17.0%
134,17.0%
135,17.0%
136,17.2%
137,17.2%
138,17.2%
139,17.2%
140,17.2%
141,17.2%
142,17.2%
143,17.2%
144,17.2%
145,17.2%
146,17.2%
147,17.2%
148,17.2%
149,17.2%
150,17.2%
151,17.2%
152,17.2%
153,17.2%
154,17.2%
155,17.2%
156,17.2%
157,17.2%
158,17.2%
159,17.2%
160,17.2%
161,17.2%
162,17.2%
163,17.2%
164,17.2%
165,17.2%
166,17.2%
167,17.2%
168,17.2%
169,17.6%
170,17.6%
171,17.6%
172,17.6%
173,17.6%
174,17.6%
175,17.6%
176,17.6%
177,17.7%
178,17.7%
179,17.7%
180,17.7%
181,17.7%
182,17.7%
183,17.7%
184,17.7%
185,17.7%
186,17.7%
187,17.7%
188,17.7%
189,17.7%
190,17.7%
191,17.7%
192,17.7%
193,17.7%
194,17.7%
195,17.7%
196,17.7%
197,17.7%
198,17.7%
199,17.7%
200,17.7%
201,17.7%
202,17.8%
203,17.8%
204,17.9%
205,17.9%
206,17.9%
207,17.9%
208,17.9%
209,17.9%
210,17.9%
211,17.9%
212,17.9%
213,17.9%
214,17.9%
215,17.9%
216,17.9%
217,17.9%
218,17.9%
219,17.9%
220,17.9%
221,17.9%
222,18.0%
223,18.0%
224,18.0%
225,18.0%
226,18.0%
227,18.0%
228,18.0%
229,18.0%
230,18.0%
231,18.0%
232,18.0%
233,18.0%
234,18.0%
235,18.1%
236,18.1%
237,18.1%
238,18.1%
239,18.1%
240,18.1%
241,18.1%
242,18.1%
243,18.1%
244,18.1%
245,18.1%
246,18.1%
247,18.1%
248,18.1%
249,18.1%
250,18.1%
251,18.1%
252,18.1%
253,18.1%
254,18.1%
255,18.1%
256,18.1%
257,18.1%
258,18.1%
259,18.1%
260,18.1%
261,18.1%
262,18.1%
263,18.1%
264,18.1%
265,18.1%
266,18.1%
267,18.1%
268,18.1%
269,18.1%
270,18.1%
271,18.1%
272,18.1%
273,18.1%
274,18.1%
275,18.1%
276,18.1%
277,18.1%
278,18.1%
279,18.2%
280,18.2%
281,18.2%
282,18.2%
283,18.2%
284,18.2%
285,18.2%
286,18.2%
287,18.2%
288,18.2%
289,18.2%
290,18.2%
291,18.2%
292,18.2%
293,18.2%
294,18.2%
295,18.3%
296,18.3%
297,18.3%
298,18.3%
299,18.3%
300,18.3%
301,18.3%
302,18.3%
303,18.3%
304,18.3%
305,18.3%
306,18.3%
307,18.3%
308,18.3%
309,18.3%
310,18.3%
311,18.3%
312,18.3%
313,18.3%
314,18.3%
315,18.3%
316,18.3%
317,18.3%
318,18.3%
319,18.3%
320,18.3%
321,18.3%
322,18.3%
323,18.3%
324,18.3%
325,18.3%
326,18.3%
327,18.3%
328,18.3%
329,18.3%
330,18.4%
331,18.4%
332,18.4%
333,18.4%
334,18.4%
335,18.4%
336,18.4%
337,18.4%
338,18.4%
339,18.4%
340,18.4%
341,18.4%
342,18.4%
343,18.4%
344,18.4%
345,18.4%
346,18.4%
347,18.4%
348,18.4%
349,18.4%
350,18.4%
351,18.4%
352,18.4%
353,18.4%
354,18.4%
355,18.4%
356,18.4%
357,18.5%
358,18.5%
359,18.5%
360,18.5%
361,18.5%
362,18.5%
363,18.5%
364,18.5%
365,18.5%
366,18.5%
367,18.5%
368,18.5%
369,18.5%
370,18.5%
371,18.5%
372,18.5%
373,18.5%
374,18.5%
375,18.5%
376,18.5%
377,18.5%
378,18.5%
379,18.9%
380,18.9%
381,18.9%
382,18.9%
383,18.9%
384,18.9%
385,18.9%
386,18.9%
387,18.9%
388,18.9%
389,18.9%
390,18.9%
391,18.9%
392,18.9%
393,18.9%
394,18.9%
395,18.9%
396,18.9%
397,18.9%
398,18.9%
399,19.0%
400,19.0%
401,19.0%
402,19.0%
403,19.0%
404,19.0%
405,19.0%
406,19.0%
407,19.0%
408,19.0%
409,19.0%
410,19.0%
411,19.0%
412,19.0%
413,19.0%
414,19.0%
415,19.0%
416,19.0%
417,19.0%
418,19.0%
419,19.0%
420,19.0%
421,19.0%
422,19.0%
423,19.0%
424,19.0%
425,19.0%
426,19.0%
427,19.0%
428,19.0%
429,19.0%
430,19.0%
431,19.0%
432,19.0%
433,19.0%
434,19.0%
435,19.0%
436,19.0%
437,19.0%
438,19.0%
439,19.0%
440,19.0%
441,19.0%
442,19.0%
443,19.0%
444,19.0%
445,19.0%
446,19.0%
447,19.0%
448,19.0%
449,19.0%
450,19.0%
451,19.0%
452,19.0%
453,19.0%
454,19.0%
455,19.0%
456,19.0%
457,19.0%
458,19.1%
459,19.1%
460,19.1%
461,19.1%
462,19.1%
463,19.1%
464,19.1%
465,19.1%
466,19.1%
467,19.1%
468,19.1%
469,19.1%
470,19.2%
471,19.2%
472,19.2%
473,19.2%
474,19.2%
475,19.2%
476,19.2%
477,19.2%
478,19.2%
479,19.2%
480,19.2%
481,19.2%
482,19.2%
483,19.2%
484,19.2%
485,19.2%
486,19.2%
487,19.2%
488,19.2%
489,19.2%
490,19.2%
491,19.2%
492,19.2%
493,19.2%
494,19.2%
495,19.2%
496,19.2%
497,19.2%
498,19.2%
499,19.2%
500,19.2%
501,19.2%
502,19.2%
503,19.2%
504,19.2%
505,19.2%
506,19.2%
507,19.2%
508,19.2%
509,19.2%
510,19.2%
511,19.2%
512,19.2%
513,19.2%
514,19.2%
515,19.2%
516,19.2%
517,19.2%
518,19.2%
519,19.2%
520,19.2%
521,19.2%
522,19.2%
523,19.2%
524,19.2%
525,19.2%
526,19.2%
527,19.2%
528,19.3%
529,19.3%
530,19.3%
531,19.3%
532,19.7%
533,19.7%
534,19.7%
535,19.7%
536,19.7%
537,19.8%
538,19.8%
539,19.8%
540,19.8%
541,19.8%
542,19.8%
543,19.8%
544,19.8%
545,19.8%
546,19.8%
547,19.8%
548,19.8%
549,19.8%
550,19.8%
551,19.8%
552,19.8%
553,19.8%
554,19.8%
555,19.8%
556,19.8%
557,19.8%
558,19.8%
559,19.8%
560,19.8%
561,19.8%
562,19.8%
563,19.8%
564,19.8%
565,19.8%
566,19.8%
567,19.8%
568,19.8%
569,19.8%
570,19.8%
571,19.8%
572,19.8%
573,19.8%
574,19.8%
575,19.8%
576,19.8%
577,19.8%
578,19.8%
579,19.8%
580,19.9%
581,19.9%
582,19.9%
583,19.9%
584,19.9%
585,19.9%
586,19.9%
587,19.9%
588,19.9%
589,19.9%
590,19.9%
591,19.9%
592,19.9%
593,19.9%
594,19.9%
595,19.9%
596,19.9%
597,19.9%
598,19.9%
